gene,cluster_kmeans,cluster_hdbscan
AP4S1,4,-1
PCGF6,2,-1
WNT8B,5,-1
PRKG2,8,-1
ETV4,2,-1
CRHR1,0,-1
ACSM4,9,-1
SLC1A2,3,9
CCNA1,4,-1
DRD1,5,10
CCL20,5,10
CSF3R,0,-1
CLDN15,7,-1
DLL4,5,10
GPSM1,4,-1
ZNF676,2,11
PTGER2,0,-1
ULBP2,0,7
HHAT,6,-1
IFITM1,5,-1
SRD5A2,9,-1
IL1RL1,5,10
F7,5,-1
BMP2,5,10
AK7,8,-1
FGF2,5,10
LRAT,6,-1
PLOD3,6,-1
MAPK10,8,-1
DNM1,4,-1
SH3GLB1,4,-1
HEPHL1,3,-1
DGAT2,6,-1
AGPAT2,6,-1
SSTR3,0,-1
HPSE2,7,-1
LBP,5,-1
TMPRSS2,4,-1
TXN,4,-1
PRPF40B,1,-1
LIPG,6,-1
SLC25A6,3,-1
MT1H,4,-1
GRPR,0,-1
ITGB4,7,-1
LARS2,1,-1
GNE,6,-1
RALGDS,4,-1
CPEB1,1,5
CIDEA,5,-1
FLOT2,7,-1
CYFIP2,7,-1
GSTM2,9,-1
HLA-DPA1,4,-1
TCF7L1,2,-1
SH2D1A,5,-1
PDE4B,8,-1
CYP26B1,9,-1
GRIN2C,3,10
OAS2,8,-1
PLTP,6,-1
APCDD1L,0,-1
MGLL,6,-1
OR13J1,0,2
CD1E,4,7
SEC31B,4,-1
ACE2,5,-1
EGF,5,10
EPHA4,5,10
CKMT1A,8,3
TWIST2,2,-1
CXCL13,5,10
RLN2,5,-1
COL13A1,7,-1
SNAI1,5,10
PDXP,8,-1
GNRH2,0,-1
BIRC7,8,-1
VTCN1,5,-1
ZNF620,2,12
RIN1,4,-1
THSD4,7,-1
SLC26A3,3,-1
GALNT10,6,1
SMYD1,1,-1
CA13,4,-1
ACP2,4,-1
RDH5,9,4
FLNB,7,-1
AMH,5,-1
RPS7,1,5
UPP1,8,-1
FBXO2,8,-1
IL21R,0,-1
ADCYAP1R1,0,-1
UNC5A,0,-1
ZNF589,2,-1
POLL,1,-1
IP6K1,8,-1
EFNA2,0,-1
INPP5J,8,-1
AGAP5,8,-1
ZNF92,2,12
SLC46A1,3,-1
CCNE2,1,-1
CBR3,9,-1
SLURP1,5,-1
ALDH1A3,9,-1
OR2A7,0,2
CARNS1,8,-1
POLN,1,-1
PCGF1,2,-1
SNX4,4,-1
PRKAG1,8,-1
RPL35A,1,5
ZNF662,2,12
NDST2,6,-1
CACNB2,3,-1
HOXD1,2,-1
TLX1,2,-1
ABCC6,3,-1
DPYD,9,-1
COX5B,9,-1
CHPF,6,-1
ZNF214,2,-1
HCAR1,0,-1
PRR5,5,-1
KDELR3,4,-1
DAG1,7,10
CACNB4,3,-1
AK4,8,-1
HTR2A,5,10
XRN1,1,-1
MT1M,4,-1
CHDH,9,-1
ADRA2B,5,-1
BTRC,8,-1
CHPT1,6,-1
DET1,1,-1
TGFA,5,-1
PCK1,8,-1
B3GNT5,6,6
PANK1,8,-1
HYAL3,7,-1
ADCY5,8,-1
CDC20,5,-1
TNNI3,7,-1
CYP2A7,9,-1
ARSG,6,-1
ABCC9,3,10
ZNF492,2,11
ACE,5,-1
AK8,8,-1
KCNQ4,3,-1
CYB5R3,9,-1
ACADL,9,-1
ATG13,4,-1
