gene,cluster_kmeans,cluster_hdbscan
DICER1,6,-1
LSM3,7,7
GPX8,11,-1
SGCD,3,-1
POP1,7,-1
TOPBP1,6,-1
NDUFA7,17,1
OXTR,13,-1
GPX1,9,-1
DIO2,11,-1
IL3RA,5,-1
ZNF81,0,14
GPSM3,9,-1
SMAD1,8,13
RORC,8,13
STK4,15,13
ATP7B,14,-1
SAT1,11,-1
SGMS2,10,-1
NDUFS8,17,1
NOTCH2,16,13
NME7,3,-1
AMOT,16,13
NPAS2,8,13
CTLA4,9,-1
POPDC3,16,-1
RRAGD,15,-1
CCDC12,2,-1
PIGZ,10,-1
DSC2,3,-1
CHST6,10,-1
SEC24D,2,-1
P2RY1,13,13
CNGA1,14,-1
ST3GAL2,10,6
IL1A,9,13
ANK3,3,-1
NFATC3,8,13
SLIT2,16,13
CDON,16,13
RBKS,12,-1
FZD1,16,13
LRRC4,3,-1
NDUFB7,17,1
IL22RA2,5,-1
EPHB3,16,13
ABCA12,14,-1
VANGL2,16,-1
TOP3A,6,-1
STAG1,6,-1
SLC36A1,14,-1
CCL17,5,-1
IL20RB,9,13
CXCL2,9,-1
AMH,16,-1
KRT18,3,-1
AKR1B10,1,-1
WNT5A,16,13
SELP,9,-1
ME3,11,-1
CBL,15,13
FER,16,13
ICAM2,5,-1
SEMA3D,16,-1
NPRL2,15,-1
COX7C,17,1
PPP2R2C,15,-1
ATXN1L,8,-1
CCNA2,15,-1
SMG6,6,-1
SCD5,1,-1
NTNG1,16,-1
TFPI,4,-1
FGFR1,16,13
FAN1,6,12
WDR7,2,-1
ARHGAP5,15,-1
AP4E1,2,-1
NEFM,3,-1
EDAR,16,-1
CCR3,13,-1
RIF1,6,-1
PIAS2,8,-1
NAPEPLD,2,-1
FZD6,16,-1
AXIN2,16,13
ACAA1,1,-1
ZEB1,8,13
COMP,16,13
IL6,9,13
KIDINS220,3,-1
NOTUM,4,-1
PNLDC1,6,-1
NKD1,16,-1
HERC2,15,13
CLDN6,3,2
EDNRA,16,13
COL10A1,3,-1
ZNF2,0,-1
SLC34A3,14,-1
THPO,9,-1
ZNF229,0,14
P4HA3,11,-1
RXFP1,13,-1
ASH1L,8,13
RASGRP2,15,-1
IRS1,9,-1
SLC6A11,14,-1
SEL1L,2,-1
SAV1,16,-1
LRIG2,16,-1
RECK,16,-1
KPNB1,2,5
OR5M11,13,0
ATXN1,8,13
ITPKA,12,-1
EXOSC7,7,-1
ATP2A3,14,-1
FMO4,11,-1
MYLK4,12,-1
ME1,11,-1
DYNC2H1,3,-1
WNT3A,16,13
PDE5A,12,-1
GART,11,-1
CDC25B,15,-1
ARHGAP35,16,13
PIKFYVE,12,-1
KIF5A,3,-1
PLIN4,2,-1
PABPC4L,7,-1
ERC1,3,-1
PRKCQ,9,13
CAD,11,-1
GPHN,3,-1
ZNF484,0,14
NUP205,2,4
SMCR8,15,-1
DNAJC5,2,-1
ZFP69B,0,14
CCL23,9,-1
ALB,2,-1
LTB4R2,13,-1
KCNN4,14,-1
TGFB3,16,13
ST3GAL4,10,6
KLK1,4,-1
TLX1,0,-1
STX17,2,-1
ZFP37,0,14
SERPINB2,4,-1
SGK1,12,13
FANCI,6,-1
CHMP2A,2,-1
ZNF699,0,14
LAMP2,2,10
PPAT,11,-1
PIGQ,10,-1
ARSB,4,-1
SMG7,7,-1
MTHFD1,11,-1
DYNC1LI2,3,-1
CST4,4,-1
VPS37B,2,-1
PIK3C2A,2,-1
DKK2,5,-1
IL37,9,-1
DMXL1,2,-1
ABL2,12,13
CD3D,5,-1
COL27A1,3,13
CSF3,9,-1
NR3C1,8,13
GDF15,9,-1
MDN1,7,-1
NDUFV2,17,1
FMO2,1,-1
ACKR4,13,-1
IL7,9,13
WNT6,16,13
PLCG1,9,-1
NCOA3,8,-1
LIPC,1,-1
RPSA,7,11
GNB4,2,-1
KMT2E,8,-1
EEF2K,12,13
ZNF460,0,14
RGS9,13,-1
HMMR,2,-1
HTR2C,13,-1
ACACA,1,-1
MAN1A2,10,-1
SLC22A3,14,-1
UQCRQ,16,-1
WNT8B,16,-1
SIPA1,15,-1
POFUT1,10,-1
RND1,3,-1
XCL1,9,-1
PCYT1B,10,-1
GNA13,13,-1
MMP9,4,-1
PGR,8,13
UTP14C,7,-1
CD63,2,-1
TNFRSF10C,5,-1
GLP2R,13,-1
OSMR,5,-1
GAB1,9,-1
SPDYE2,5,-1
WDR3,7,-1
RARB,8,13
TMEM86B,1,-1
SETD7,6,-1
COL8A1,3,-1
GABRE,14,9
GRID1,14,9
WNT10B,16,13
EFNB3,16,-1
TRPV4,9,13
GNL3L,6,-1
PRKAA2,12,13
AGPS,1,-1
CDK5R1,16,13
UQCRC1,17,1
B3GAT1,10,-1
RPL12,7,11
GNG4,13,-1
ACADS,1,-1
DNAJC6,2,-1
ZNF566,0,14
AGAP1,2,-1
TRAM1L1,2,-1
SLCO1B3,14,-1
GALE,10,-1
POLR3G,8,-1
MTHFS,11,-1
BRCA1,6,13
RPS14,7,11
MED12L,0,-1
ARHGDIB,15,-1
ZNF283,0,14
HAND1,8,13
COL5A2,3,13
ITGB3,9,13
RAG1,6,-1
GABRQ,14,9
TAF4B,8,-1
CSNK2B,15,-1
NKX6-1,8,13
GNG2,13,-1
LLGL1,3,-1
EME2,6,-1
EGF,9,13
ITCH,15,13
ZNF880,0,-1
LAMC1,16,13
ANTXR1,5,-1
RPS4X,7,11
RNGTT,12,-1
AASS,11,-1
SKAP1,9,-1
RPL37A,7,11
CHRNA1,14,9
LPAR4,13,-1
CREB3L1,8,13
RPS23,7,11
LILRA4,9,-1
PER3,8,-1
FN1,16,13
CYP26A1,1,3
AQP5,14,-1
GAST,13,-1
TP53INP2,2,-1
ZNF354C,8,-1
APCDD1L,5,-1
DAGLA,1,-1
POLR3A,8,-1
CAMK2B,12,13
RB1CC1,15,-1
NGF,16,-1
CPT1C,11,-1
PIGR,5,-1
EME1,6,-1
STXBP1,2,-1
HS3ST3B1,10,-1
ABCA13,14,-1
ST6GALNAC3,10,-1
KRT31,3,8
DPM3,10,-1
PNPO,11,-1
PLA2G2F,1,-1
MIOX,11,-1
CERK,12,-1
BLK,12,-1
WNT11,16,13
MAP3K3,12,-1
NMNAT2,11,-1
PRODH,11,-1
EPOR,5,-1
ST3GAL5,10,6
ADCYAP1R1,13,-1
INPP5D,9,-1
ADCY3,12,-1
DNAH3,3,-1
PAK3,12,13
SMO,16,13
PANK2,11,-1
DUSP4,12,-1
IL36RN,9,-1
MOCS1,11,-1
CALML3,2,-1
UBXN6,2,-1
AMY2B,4,-1
WNT10A,16,-1
DLG5,16,13
RBM28,7,-1
ANAPC1,15,-1
GFPT2,10,-1
NDUFV1,17,1
AQP7,14,-1
TXNRD1,11,-1
DIAPH3,3,-1
RBP2,1,-1
