gene,cluster_kmeans,cluster_hdbscan
POMC,1,-1
MANBA,7,-1
RPL37,17,15
RPL38,17,15
UST,7,-1
LMNB1,2,-1
CAMK2B,4,-1
WEE1,6,-1
BMS1,14,-1
NTF3,1,-1
PTGDS,12,-1
DCTN5,4,-1
CARD11,1,-1
LSM2,8,6
CKS1B,18,-1
B4GALNT3,7,-1
ZNF573,10,19
ZBP1,1,-1
EIF4EBP1,18,-1
WDR75,14,-1
TWIST2,3,-1
ZNF382,10,20
BARD1,18,-1
DCP1A,5,-1
THBD,1,-1
SMC1B,16,-1
SUPT3H,3,-1
KAT2A,3,-1
CSNK2B,18,14
RMI2,16,-1
UTS2B,13,-1
SNRPD1,8,6
CAMKK2,6,9
PHKA1,11,-1
IQGAP3,18,-1
NR3C1,3,16
ZNF66,10,20
PIGM,7,-1
DEGS1,7,-1
TNFSF13,1,-1
ZNF891,10,20
XRCC2,16,-1
CXCR6,13,-1
RPP38,14,-1
PER2,3,-1
E2F2,3,16
HERPUD1,0,-1
MST1R,1,-1
GPR35,13,-1
SNRPC,8,-1
RANBP1,18,-1
NUP155,2,-1
UBE2E1,18,8
VEGFA,1,-1
PLCH2,11,-1
UBE4A,18,-1
ADA,1,-1
IRAK2,1,-1
TYMS,11,-1
PF4,1,11
RAD54B,16,-1
SLC3A1,9,-1
NMNAT3,11,-1
APPL1,1,-1
ALG6,7,-1
GCNT2,1,-1
ZNF20,10,21
SLC22A5,9,3
SOX4,3,-1
CDKN2D,18,-1
DDX42,5,-1
ACADVL,12,0
VPS35,4,-1
NF2,4,-1
ACYP1,11,-1
FANCE,16,-1
SNRPB,8,6
ACYP2,11,-1
ICA1,2,-1
ENTPD8,11,-1
IL12RB2,1,-1
TNNC1,4,-1
LUM,15,-1
POLE3,16,-1
STAM,2,-1
MAPK8IP3,4,-1
GSTA4,11,-1
ZNF566,10,21
ANTXR1,4,-1
IL13RA2,1,-1
GNAZ,13,-1
CASP12,18,-1
SPX,1,-1
GABARAPL1,2,-1
GNA13,13,-1
ALDH4A1,12,-1
ZNF90,10,20
PIP5KL1,6,-1
EPHB3,1,-1
EME1,16,13
DSG1,4,-1
ELMO1,4,-1
CPSF4L,5,-1
CHKB,11,-1
UBE2E2,18,8
IL1RL1,1,-1
RPL23A,17,15
B3GNT5,7,-1
TSPAN7,0,-1
GRPR,13,-1
PTPRJ,1,18
CD70,1,-1
IPO7,18,10
TRPV3,9,-1
BUB1B,6,-1
ZNF544,10,-1
IPMK,6,-1
EPHA2,1,-1
MRAS,18,-1
ADRA1D,13,-1
IPO4,2,-1
POU2F3,3,-1
CDC25C,18,-1
EDC3,5,-1
ZNF195,10,20
TRIM32,1,17
RPSA,17,-1
SNX5,2,-1
ZNF764,10,-1
TMEM97,9,-1
POMGNT1,7,1
TRAF5,1,-1
CCL21,1,11
DYNC1LI1,2,-1
PTDSS2,7,-1
PQBP1,3,-1
SRSF7,5,5
PVR,1,-1
INPP4A,2,-1
PRKCQ,1,17
MCM6,16,13
CLDN2,4,-1
AMH,1,-1
ZNF782,10,-1
ACAT2,7,-1
COL11A2,15,-1
MCM2,16,13
FBL,14,-1
ALOX15B,12,-1
ZNF674,10,-1
NOP58,14,-1
ACE2,1,-1
IL17RB,1,-1
COL2A1,4,-1
NOP56,14,-1
SLC22A1,9,-1
IPO13,2,-1
TEK,1,18
LAPTM4B,2,-1
PDSS1,11,-1
AGAP4,11,-1
DNAH11,4,-1
RANGAP1,18,-1
RBM28,5,-1
MRPL17,17,-1
CXXC4,18,-1
GXYLT2,7,-1
SNRPA,8,6
CYP39A1,12,2
ST3GAL5,7,-1
LEFTY1,1,-1
TUBB,4,-1
PIP4K2B,6,-1
TNFRSF17,1,-1
CAMK1G,6,-1
PWP2,14,-1
ZNF471,10,21
EFNA3,13,-1
RPL27,17,15
CYP2C19,12,2
PLN,9,-1
GCDH,12,-1
AGRP,1,-1
AK9,6,-1
SLC27A5,7,-1
ABCB6,9,-1
ADCY4,11,-1
COL13A1,15,7
BRCA1,16,13
PAFAH1B3,11,-1
CERS5,7,-1
CLDN19,4,-1
CHAC2,11,-1
ELK1,3,16
TAF3,3,-1
MAFA,10,16
C4A,1,-1
STMN1,4,-1
PIK3R2,1,-1
ZNF30,10,20
STX19,2,-1
COL9A2,15,-1
CHST4,7,-1
CDC27,18,-1
ZNF726,10,-1
ZNF74,10,-1
AP1S3,2,4
NME1,11,-1
RXRG,3,-1
PAK1,1,17
RAD51C,16,13
RBM17,5,-1
SLC9A3,9,-1
ZNF324B,10,20
SLC44A5,9,-1
PPBP,1,-1
NPAS2,3,16
TBL1Y,3,-1
ARHGEF4,18,-1
VMP1,2,-1
TDO2,12,-1
CCNE1,18,-1
CERS6,7,-1
RAN,18,10
SGCB,4,-1
ZNF383,10,-1
CXCL11,1,11
IFI16,1,-1
QRSL1,11,-1
CLDN9,4,-1
RAD51,16,13
HLA-G,1,-1
ATP1A2,9,-1
MBOAT1,7,-1
LIG1,16,-1
STRADB,6,-1
GRID1,13,-1
EXOSC2,5,-1
AOC2,12,-1
CCL22,1,11
GSTM5,11,-1
FABP4,1,-1
DNA2,16,13
COL8A2,15,7
HMMR,2,-1
NDST2,7,-1
GNAO1,13,-1
SP1,3,16
PRKAR2A,18,-1
ASRGL1,11,-1
CBS,12,-1
BMP8A,1,-1
PPM1D,6,-1
COL4A5,15,-1
NRXN2,4,-1
EDA,1,-1
COL14A1,15,7
TRIM37,18,-1
RAP1GAP,1,-1
AMOTL2,4,-1
ZNF81,10,20
THOC5,5,5
ID4,3,-1
RPL10,17,15
KIR2DL4,1,-1
ENPP6,11,-1
ITGAV,1,18
SAE1,18,-1
ZNF569,10,21
COQ6,12,-1
IFNG,1,11
SEMA3B,4,-1
ZNF562,10,19
KLF2,3,-1
EIF2B4,1,-1
RPS6KB1,1,17
SFRP1,1,-1
FNIP2,18,-1
ZFP37,10,-1
NRCAM,4,-1
DCTPP1,11,-1
SRSF2,5,5
DEGS2,7,-1
RAG1,1,-1
XPA,16,-1
RPS7,17,15
