gene,cluster_kmeans,cluster_hdbscan
RGCC,7,-1
P2RY2,0,-1
TAOK2,3,-1
ELOVL6,1,-1
CTH,1,-1
HYAL2,7,23
DNAH14,13,1
LSM4,15,15
RHEB,3,23
ITPR2,2,-1
GALNT5,9,10
ZNF169,8,24
PDE4C,1,5
FZD5,7,23
ENGASE,1,-1
ADCYAP1R1,0,23
PBX1,6,23
WAS,13,-1
UAP1L1,9,-1
GNG13,0,-1
PSD,13,-1
INSL5,0,-1
MADCAM1,7,-1
MAPK12,3,-1
RPS4Y2,15,-1
SNRPF,15,15
CDC45,4,-1
SEC61G,12,-1
CCR1,7,-1
MT1X,5,2
CGNL1,13,-1
NEFH,13,-1
STX4,12,-1
RAB39B,12,-1
PREX1,7,-1
PGP,1,-1
EPHB6,0,-1
CKMT2,1,-1
PDE6C,1,5
SLC7A1,2,-1
SEMA6A,7,-1
PTGES2,1,-1
PPARA,6,23
AP1G1,12,19
IQSEC3,13,-1
CST5,11,-1
BLM,4,20
PTPRN,12,19
UGT2B15,9,-1
CDKN2D,3,-1
KLC1,13,-1
MT1B,5,2
BAD,7,-1
CERS1,1,-1
ABAT,7,-1
CRYL1,10,-1
ZNF700,8,26
DNAH1,13,1
SLC7A7,2,-1
KLKB1,11,-1
NRCAM,13,-1
XPO6,5,-1
SPDYE6,3,-1
TNFRSF25,0,-1
DRD4,0,23
TRPC4,2,-1
WNT9A,7,-1
VARS2,1,-1
SPHK1,7,23
CFI,11,9
PITX2,6,23
LYL1,6,-1
COL5A1,11,16
SH3GLB2,5,-1
HLA-DRB5,12,23
KRT14,13,13
HEY1,6,23
SERPINC1,11,-1
SNRPE,15,15
SSTR1,0,-1
EPHB1,7,23
UQCRHL,14,-1
MYO5C,13,-1
CACNB1,2,21
OPRL1,0,-1
FUS,6,-1
KCNQ2,2,21
CACNB3,2,21
EZH2,6,22
CACNG1,2,21
CXCL2,7,23
NPC1L1,10,-1
GUCA1B,7,-1
C1QB,11,-1
DNAJC3,5,-1
CKM,1,-1
UCN3,7,-1
GUK1,1,-1
UTS2B,0,-1
CNOT3,6,-1
TWIST1,6,23
MRPL22,15,4
LAMB3,11,-1
ZNF746,8,-1
HSD17B1,10,-1
WNT16,7,-1
SPDYE3,3,-1
MGAT3,9,-1
ISY1,15,15
AOC1,10,-1
BPGM,1,-1
ROR2,3,-1
ARPC5,13,13
ITGAD,11,-1
MAP4K4,3,-1
OR51E2,0,-1
KRT10,13,13
NDUFV1,14,0
HCAR2,0,-1
NLGN4Y,13,-1
ZNF354A,8,-1
CCNB1,3,23
KIF5A,13,-1
KCNJ2,2,-1
IST1,13,-1
UBE2S,3,17
OXTR,0,-1
UCKL1,1,11
HLA-G,7,-1
MAD2L2,4,-1
ARRB2,7,23
POFUT2,9,-1
APLNR,7,-1
CALML5,5,-1
VCAN,11,-1
ALDH1A1,10,7
MT1G,5,2
PPARG,6,23
RPL30,5,3
CHRNA7,7,23
TOMM40,12,-1
HAGH,1,-1
RSPO3,7,-1
RPL26L1,15,3
JAG2,7,-1
CELA2B,11,-1
ZNF226,8,-1
SUMO4,6,-1
SULT1E1,10,-1
ZNF778,8,-1
FYN,7,23
KRT15,13,13
ZNF676,8,25
GLG1,11,-1
KCNN1,2,-1
KIF23,13,-1
PLD4,12,-1
SIRT7,6,22
CFB,11,9
F2RL2,0,-1
EEF1A2,5,-1
ULK2,3,-1
CPS1,1,-1
STAT6,6,23
ADRM1,5,-1
LSM8,15,15
CCNG1,5,-1
ALOX15B,10,-1
NBL1,7,-1
SRD5A2,10,-1
RALGDS,5,-1
TNFRSF18,7,-1
RFC4,4,18
PABPN1L,15,-1
IL11,7,-1
STX16,12,19
AP3B1,12,-1
IL36RN,7,-1
KRT23,13,13
NRG1,7,-1
ASNS,1,-1
B3GALT5,9,-1
SPDYA,4,-1
HAO1,10,-1
SLITRK3,13,-1
TARS2,1,-1
NME3,1,11
RAB11FIP2,12,-1
ALOXE3,10,-1
ADCY4,1,-1
CYP2D6,10,12
NXF1,15,-1
NEIL1,4,20
DNAH8,13,1
KAT2A,6,-1
PLA2R1,7,-1
PDE6G,3,-1
MCEE,1,-1
SLC6A11,2,-1
UBE2B,3,-1
HCAR3,0,-1
ARHGDIG,5,-1
ELK1,6,23
SNAI2,6,23
ITGA2,7,23
ZNF738,8,-1
NRP1,7,23
C8G,7,9
POMT2,9,-1
PRICKLE2,13,-1
AGAP2,5,-1
CCK,0,-1
NKX6-1,6,23
ZNF460,8,24
DIS3,15,-1
MUS81,4,20
MYLK3,3,-1
MMP3,11,-1
CTSV,11,-1
FREM2,11,-1
BCO1,10,-1
SSU72,15,-1
E2F3,8,23
POLD1,4,20
FPGS,1,-1
RNF185,3,-1
PRICKLE4,13,-1
C5AR1,7,-1
PYGB,1,-1
KRT13,13,13
FGF22,13,-1
STAMBP,3,-1
PGS1,1,-1
DNM3,13,-1
DUSP2,3,-1
FCGR2C,7,-1
ATP6V1G2,12,-1
LY96,7,-1
RMI2,4,-1
AGA,11,-1
NR1D1,6,23
ALDH1A2,7,-1
F2RL1,7,23
FGF10,7,23
WT1,6,23
MDM4,6,-1
AGAP6,5,-1
ACOX1,10,6
MT1M,5,2
HCLS1,3,-1
ELMO1,13,-1
CPLX1,13,-1
HNMT,1,-1
ZNF667,8,-1
ZNF816,8,25
IDUA,1,-1
ARAP3,13,-1
ULBP1,7,-1
PDE5A,1,5
GPLD1,7,-1
AZIN2,12,-1
HESX1,6,23
CRTC2,6,-1
FBXO43,3,-1
EDARADD,5,-1
VANGL2,7,-1
PABPN1,15,-1
COL5A3,11,-1
MAPK8IP3,13,-1
NTRK3,7,23
NOS2,7,23
ZNF573,8,-1
DPYS,1,11
RAD51,4,20
CD38,7,23
CLEC7A,7,23
NOTCH3,6,-1
PIK3C2G,1,-1
PCYT1B,1,-1
NEO1,7,-1
